ds,y
2012-07-30,919289.0
2012-07-31,912827.0
2012-08-01,898316.0
2012-08-02,969409.0
2012-08-03,1018217.0
2012-08-04,966930.0
2012-08-05,968701.0
2012-08-06,990962.0
2012-08-07,926456.0
2012-08-08,972617.0
2012-08-09,1006386.0
2012-08-10,935963.0
2012-08-11,879589.0
2012-08-12,826708.0
2012-08-13,894069.0
2012-08-14,889044.0
2012-08-15,907897.0
2012-08-16,889212.0
2012-08-17,905278.0
2012-08-18,775997.0
2012-08-19,672635.0
2012-08-20,781933.0
2012-08-21,812306.0
2012-08-22,841183.0
2012-08-23,868338.0
2012-08-24,876231.0
2012-08-25,785911.0
2012-08-26,773968.0
2012-08-27,906265.0
2012-08-28,946465.0
2012-08-29,846908.0
2012-08-30,835445.0
2012-08-31,902743.0
2012-09-01,872439.0
2012-09-02,788646.0
2012-09-03,790135.0
2012-09-04,900358.0
2012-09-05,953404.0
2012-09-06,869327.0
2012-09-07,925726.0
2012-09-08,835025.0
2012-09-09,685589.0
2012-09-10,709432.0
2012-09-11,693300.0
2012-09-12,719592.0
2012-09-13,743491.0
2012-09-14,748426.0
2012-09-15,650732.0
2012-09-16,609065.0
2012-09-17,695435.0
2012-09-18,772753.0
2012-09-19,702739.0
2012-09-20,680060.0
2012-09-21,696474.0
2012-09-22,671015.0
2012-09-23,601536.0
2012-09-24,652802.0
2012-09-25,667832.0
2012-09-26,712337.0
2012-09-27,740022.0
2012-09-28,733985.0
2012-09-29,609931.0
2012-09-30,584561.0
2012-10-01,658165.0
2012-10-02,697538.0
2012-10-03,749014.0
2012-10-04,761473.0
2012-10-05,718550.0
2012-10-06,632473.0
2012-10-07,589151.0
2012-10-08,668940.0
2012-10-09,680132.0
2012-10-10,672098.0
2012-10-11,665171.0
2012-10-12,670522.0
2012-10-13,627038.0
2012-10-14,598018.0
2012-10-15,674229.0
2012-10-16,660455.0
2012-10-17,675750.0
2012-10-18,674104.0
2012-10-19,680881.0
2012-10-20,594838.0
2012-10-21,581729.0
2012-10-22,661827.0
2012-10-23,672851.0
2012-10-24,674682.0
2012-10-25,673342.0
2012-10-26,665644.0
2012-10-27,601189.0
2012-10-28,602158.0
2012-10-29,602962.0
2012-10-30,474457.0
2012-10-31,566452.0
2012-11-01,610851.0
2012-11-02,630160.0
2012-11-03,617956.0
2012-11-04,601550.0
2012-11-05,707176.0
2012-11-06,739647.0
2012-11-07,767327.0
2012-11-08,743152.0
2012-11-09,720243.0
2012-11-10,660066.0
2012-11-11,617500.0
2012-11-12,673650.0
2012-11-13,705329.0
2012-11-14,746348.0
2012-11-15,757388.0
2012-11-16,743189.0
2012-11-17,688431.0
2012-11-18,672761.0
2012-11-19,734157.0
2012-11-20,731412.0
2012-11-21,725485.0
2012-11-22,645382.0
2012-11-23,657810.0
2012-11-24,687685.0
2012-11-25,716081.0
2012-11-26,763348.0
2012-11-27,794350.0
2012-11-28,791281.0
2012-11-29,801562.0
2012-11-30,786067.0
2012-12-01,717186.0
2012-12-02,685880.0
2012-12-03,704376.0
2012-12-04,697723.0
2012-12-05,710180.0
2012-12-06,785869.0
2012-12-07,789936.0
2012-12-08,681945.0
2012-12-09,677848.0
2012-12-10,730505.0
2012-12-11,736159.0
2012-12-12,786085.0
2012-12-13,795696.0
2012-12-14,794935.0
2012-12-15,726717.0
2012-12-16,691317.0
2012-12-17,750771.0
2012-12-18,736845.0
2012-12-19,769114.0
2012-12-20,793092.0
2012-12-21,775538.0
2012-12-22,761261.0
2012-12-23,729931.0
2012-12-24,761421.0
2012-12-25,692875.0
2012-12-26,814644.0
2012-12-27,811042.0
2012-12-28,797212.0
2012-12-29,785034.0
2012-12-30,762766.0
2012-12-31,798210.0
2013-01-01,730587.0
2013-01-02,830969.0
2013-01-03,860384.0
2013-01-04,836589.0
2013-01-05,762490.0
2013-01-06,717233.0
2013-01-07,775191.0
2013-01-08,801814.0
2013-01-09,798156.0
2013-01-10,759603.0
2013-01-11,772840.0
2013-01-12,680578.0
2013-01-13,664968.0
2013-01-14,715764.0
2013-01-15,776644.0
2013-01-16,813496.0
2013-01-17,789741.0
2013-01-18,812816.0
2013-01-19,744443.0
2013-01-20,688939.0
2013-01-21,821338.0
2013-01-22,931795.0
2013-01-23,977596.0
2013-01-24,960253.0
2013-01-25,973238.0
2013-01-26,872879.0
2013-01-27,831735.0
2013-01-28,874443.0
2013-01-29,773572.0
2013-01-30,732805.0
2013-01-31,746314.0
2013-02-01,869349.0
2013-02-02,861260.0
2013-02-03,809553.0
2013-02-04,878528.0
2013-02-05,857497.0
2013-02-06,835124.0
2013-02-07,862262.0
2013-02-08,837517.0
2013-02-09,799097.0
2013-02-10,782197.0
2013-02-11,801620.0
2013-02-12,764786.0
2013-02-13,803505.0
2013-02-14,781484.0
2013-02-15,754249.0
